id;date;confirmed;novos_casos;novos_casos_mm7d;deaths;novas_mortes;novas_mortes_mm7d;recovered;tests;vaccines;people_vaccinated;people_fully_vaccinated;pop_pct_vacinada;pop_pct_naovacinada;hosp;icu;vent;school_closing;workplace_closing;cancel_events;gatherings_restrictions;transport_closing;stay_home_restrictions;internal_movement_restrictions;international_movement_restrictions;information_campaigns;testing_policy;contact_tracing;facial_coverings;vaccination_policy;elderly_people_protection;government_response_index;stringency_index;containment_health_index;economic_support_index;administrative_area_level;administrative_area_level_1;administrative_area_level_2;administrative_area_level_3;latitude;longitude;population;iso_alpha_3;iso_alpha_2;iso_numeric;iso_currency;key_local;key_google_mobility;key_apple_mobility;key_jhu_csse;key_nuts;key_gadm
465;59d3b85f;03/06/2021;16809146;76067;618.637.142.857.143;470000;1914;163.757.142.857.143;14818184;49765330;71245492;48321463;22924029;0.109438592617278;0.890561407382722;NA;NA;NA;-2;-3;-2;-3;-2;-2;-2;1;2;1;0;4;4;1;54.22;66.2;60.18;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
466;59d3b85f;04/06/2021;16852317;43171;623.078.571.428.571;471191;1191;166.371.428.571.429;14874923;49857892;71961789;48963900;22997889;0.109791197931585;0.890208802068415;NA;NA;NA;-2;-3;-2;-3;-2;-2;-2;1;2;1;0;4;4;1;54.22;66.2;60.18;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
467;59d3b85f;05/06/2021;16913984;61667;589.935.714.285.714;472861;1670;170.857.142.857.143;14944069;49878944;72586950;49491413;23095537;0.110257366408858;0.889742633591142;NA;NA;NA;-2;-3;-2;-3;-2;-2;-2;1;2;1;0;4;4;1;54.22;66.2;60.18;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
468;59d3b85f;06/06/2021;16954327;40343;573.634.285.714.286;473741;880;1692;15002817;49939952;72811509;49685501;23126008;0.110402834003391;0.889597165996609;NA;NA;NA;-2;-3;-2;-3;-2;-2;-2;1;2;1;0;4;4;1;54.22;66.2;60.18;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
469;59d3b85f;07/06/2021;16994043;39716;595.315.714.285.714;474890;1149;177.642.857.142.857;15022649;50029606;73614079;50381104;23232975;0.110913491093228;0.889086508906772;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
470;59d3b85f;08/06/2021;17049756;55713;656.945.714.285.714;477538;2648;191.728.571.428.571;15059712;50073330;74920113;51502554;23417559;0.111794689297072;0.888205310702928;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
471;59d3b85f;09/06/2021;17134623;84867;67424;479930;2392;196.071.428.571.429;15154101;50127012;76117123;52567517;23549606;0.112425077517194;0.887574922482806;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
472;59d3b85f;10/06/2021;17225867;91244;669.441.428.571.429;482435;2505;1995;15211176;50191122;77243101;53577624;23665477;0.112978242022664;0.887021757977336;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
473;59d3b85f;11/06/2021;17312179;86312;673.692.857.142.857;484612;2177;197.657.142.857.143;15260459;50245852;78471914;54685737;23786177;0.113554460022079;0.886445539977921;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
474;59d3b85f;12/06/2021;17385952;73773;71859;486586;1974;198.185.714.285.714;15300271;50485241;79118243;55292343;23825900;0.113744096373286;0.886255903626714;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
475;59d3b85f;13/06/2021;17422936;36984;720.962.857.142.857;487706;1120;202.614.285.714.286;15401424;50801841;79466212;55617274;23848938;0.113854079059869;0.886145920940131;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
476;59d3b85f;14/06/2021;17465628;42692;699.888.571.428.571;488726;1020;199.885.714.285.714;15469067;50835875;80577338;56657381;23919957;0.114193121529632;0.885806878470368;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
477;59d3b85f;15/06/2021;17552769;87141;712.934.285.714.286;491411;2685;204.157.142.857.143;15519955;50893819;81940689;57910386;24030303;0.114719909859072;0.885280090140928;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
478;59d3b85f;16/06/2021;17639297;86528;718.878.571.428.571;494113;2702;207.457.142.857.143;15587562;50951461;83181485;59068483;24113002;0.115114712281057;0.884885287718943;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
479;59d3b85f;17/06/2021;17715789;76492;72974;496427;2314;206.185.714.285.714;15660614;52726489;85441106;61187304;24253802;0.115786887047566;0.884213112952434;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
480;59d3b85f;18/06/2021;17811233;95444;733.622.857.142.857;498903;2476;205.628.571.428.571;15687189;52781423;87160471;62785859;24374612;0.116363630183517;0.883636369816483;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
481;59d3b85f;19/06/2021;17889167;77934;786.632.857.142.857;501108;2205;197.314.285.714.286;15745463;52818761;88108418;63659153;24449265;0.116720021254854;0.883279978745146;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
482;59d3b85f;20/06/2021;17933754;44587;773.587.142.857.143;502139;1031;191.071.428.571.429;15745463;52818761;88570223;64099339;24470884;0.116823229680117;0.883176770319883;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
483;59d3b85f;21/06/2021;17979164;45410;773.775.714.285.714;503120;981;187.128.571.428.571;15834314;52820657;90013336;65421825;24591511;0.117399099179831;0.882600900820169;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
484;59d3b85f;22/06/2021;18103412;124248;744.657.142.857.143;505223;2103;180.442.857.142.857;15985625;52977109;91420290;66688623;24731667;0.118068199510618;0.881931800489382;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
485;59d3b85f;23/06/2021;18180808;77396;719.987.142.857.143;507488;2265;170.614.285.714.286;16009391;53008201;92782243;67890907;24891336;0.118830454288982;0.881169545711018;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
486;59d3b85f;24/06/2021;18257432;76624;701.977.142.857.143;509526;2038;166.185.714.285.714;16038230;53057848;94322179;69113521;25208658;0.12034533952519;0.87965466047481;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
487;59d3b85f;25/06/2021;18332493;75061;682.904.285.714.286;511534;2008;162.371.428.571.429;16136175;53196856;95764065;70369603;25404254;0.121279108670289;0.878720891329711;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
